country,gdp_nominal,gdp, gdp_growth ,population,gdp_per_capita,pct_share_world_gdp
Israel,3.53268E+11,$353 billion,0.03,8243848,42852,0
South Africa,3.48872E+11,$349 billion,0.01,57009756,6120,0
Hong Kong,3.41449E+11,$341 billion,0.04,7306322,46733,0
Ireland,3.3143E+11,$331 billion,0.08,4753279,69727,0
Denmark,3.29866E+11,$330 billion,0.02,5732274,57545,0
Singapore,3.23907E+11,$324 billion,0.04,5708041,56746,0
Malaysia,3.1471E+11,$315 billion,0.06,31104646,10118,0
Colombia,3.14458E+11,$314 billion,0.02,48909839,6429,0
Philippines,3.13595E+11,$314 billion,0.07,105172925,2982,0
Pakistan,3.04952E+11,$305 billion,0.06,207906209,1467,0
Chile,2.77076E+11,$277 billion,0.01,18470439,15001,0
Finland,2.52302E+11,$252 billion,0.03,5511371,45778,0
Bangladesh,2.49724E+11,$250 billion,0.07,159685424,1564,0
Egypt,2.35369E+11,$235 billion,0.04,96442591,2441,0
Vietnam,2.2378E+11,$224 billion,0.07,94600648,2366,0
Portugal,2.19308E+11,$219 billion,0.03,10288527,21316,0
Czech Republic (Czechia),2.15914E+11,$216 billion,0.04,10641034,20291,0
Romania,2.11884E+11,$212 billion,0.07,19653969,10781,0
Peru,2.11389E+11,$211 billion,0.03,31444298,6723,0
New Zealand,2.04139E+11,$204 billion,0.03,4702034,43415,0
Greece,2.03086E+11,$203 billion,0.01,10569450,19214,0
Iraq,1.92061E+11,$192 billion,-0.02,37552781,5114,0
Algeria,1.67555E+11,$168 billion,0.02,41389189,4048,0
Qatar,1.66929E+11,$167 billion,0.02,2724728,61264,0
Kazakhstan,1.62887E+11,$163 billion,0.04,18080019,9009,0
Hungary,1.39761E+11,$140 billion,0.04,9729823,14364,0
Angola,1.22124E+11,$122 billion,0,29816766,4096,0
Kuwait,1.20126E+11,$120 billion,-0.03,4056099,29616,0
Sudan,1.17488E+11,$117 billion,0.04,40813397,2879,0
Ukraine,1.12154E+11,$112 billion,0.03,44487709,2521,0
Morocco,1.09709E+11,$110 billion,0.04,35581255,3083,0
Ecuador,1.04296E+11,$104 billion,0.02,16785361,6214,0
Cuba,96851000000,$96.85 billion,0.02,11339254,8541,0
Slovakia,95617670260,$95.62 billion,0.03,5447900,17551,0
Sri Lanka,87357205923,$87.36 billion,0.03,21128032,4135,0
Ethiopia,80561496134,$80.56 billion,0.1,106399924,757,0
Kenya,79263075749,$79.26 billion,0.05,50221142,1578,0
Dominican Republic,75931656815,$75.93 billion,0.05,10513104,7223,0
Guatemala,75620095538,$75.62 billion,0.03,16914970,4471,0
Oman,70783875163,$70.78 billion,0,4665928,15170,0
Myanmar,67068745521,$67.07 billion,0.07,53382523,1256,0
Luxembourg,62316359824,$62.32 billion,0.02,591910,105280,0
Panama,62283756584,$62.28 billion,0.05,4106769,15166,0
Ghana,58996776238,$59.00 billion,0.08,29121465,2026,0
Bulgaria,58220973783,$58.22 billion,0.04,7102444,8197,0
Costa Rica,57285984448,$57.29 billion,0.03,4949954,11573,0
Uruguay,56156972158,$56.16 billion,0.03,3436641,16341,0
Croatia,55213087271,$55.21 billion,0.03,4182857,13200,0
Belarus,54456465473,$54.46 billion,0.02,9450231,5762,0
Lebanon,53576985687,$53.58 billion,0.02,6819373,7857,0
Tanzania,53320625959,$53.32 billion,0.07,54660339,975,0
